2026-05-14 01:51:10,400 [INFO] Scrape started | date: 2026-05-13
2026-05-14 01:51:10,401 [INFO] Connecting to 149.154.167.51:443/TcpFull...
2026-05-14 01:51:10,598 [INFO] Connection to 149.154.167.51:443/TcpFull complete!
2026-05-14 01:51:20,430 [INFO] Phone migrated to 4
2026-05-14 01:51:20,634 [INFO] Reconnecting to new data center 4
2026-05-14 01:51:20,948 [INFO] Disconnecting from 149.154.167.51:443/TcpFull...
2026-05-14 01:51:20,948 [INFO] Disconnection from 149.154.167.51:443/TcpFull complete!
2026-05-14 01:51:20,949 [INFO] Connecting to 149.154.167.92:443/TcpFull...
2026-05-14 01:51:22,994 [INFO] Connection to 149.154.167.92:443/TcpFull complete!
2026-05-14 01:55:39,094 [INFO] Telegram client connected
2026-05-14 01:55:39,095 [INFO] Starting scrape: CheMed123
2026-05-14 01:58:01,144 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:58:01,460 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:58:01,671 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:58:02,029 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:58:02,500 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:58:03,124 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:58:03,297 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:58:03,614 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:58:04,422 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:58:04,933 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:58:05,213 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:58:09,786 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:58:10,701 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:58:14,058 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:58:17,054 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
